,original,just tokenization,stemming,lemmatization,stemming(snow) + misspellings,lemmatization + misspellings,stemming(lanc) + misspellings
546,In upright cop has his son arrested. ,in upright cop has his son arrested,in upright cop has his son arrest,in upright cop ha his son arrested,in upright cop has his son arrest,in upright cop ha his son arrested,in upright cop has his son arrest
547,Forecast for wet Dol (Sunday) and dry (Monday). ,forecast for wet dol sunday and dry monday,forecast for wet dol sunday and dri monday,forecast for wet dol sunday and dry monday,forecast for wet do sunda and dri money,forecast for wet do sundae and dry money,forecast for wet do sunda and dry money
548,Army chief's words ring in pellet-hit boy's ears. ,army chief words ring in pellet hit boy ears,armi chief word ring in pellet hit boy ear,army chief word ring in pellet hit boy ear,armi chief word ring in pellet hit boy ear,army chief word ring in pellet hit boy ear,army chief word ring in pellet hit boy ear
549,(leads/trends) 05/70 BJP: 3 CONG: to  Others: 0 ,leads trends bjp cong to others,lead trend bjp cong to other,lead trend bjp cong to others,lead trend bop long to other,lead trend bop long to others,lead trend bop long to oth
550,"(leads/trends) 26/117: BJP/SAD: 3, CONG: 17, AAP: 6, Others: 0",leads trends bjp sa sadness cong aap others,lead trend bjp sa sad cong aap other,lead trend bjp sa sadness cong aap others,lead trend bop a sad long map other,lead trend bop a sadness long map others,lead trend bop a sad long map oth
551,Uttar Pradesh (leads/trends) 103/for03 55 26 18 Others for ,uttar pradesh leads trends others for,uttar pradesh lead trend other for,uttar pradesh lead trend others for,utter grade lead trend other for,utter grade lead trend others for,ut grad lead trend oth for
552,"Foreign policy must be rooted in ethics, Sunanda Datta-Ray says  as lines up visit to  ",foreign policy must be rooted in ethics sunanda datta ray says as lines up visit to,foreign polici must be root in ethic sunanda datta ray say as line up visit to,foreign policy must be rooted in ethic sunanda datta ray say a line up visit to,foreign polici must be root in ethic uganda data ray say as line up visit to,foreign policy must be rooted in ethic uganda data ray say a line up visit to,foreign policy must be root in eth ugand dat ray say as lin up visit to
553,Get all the latest  fastest updates on throughout the day here: ,get all the latest fastest updates on throughout the day here,get all the latest fastest updat on throughout the day here,get all the latest fastest update on throughout the day here,get all the latest fastest updat on throughout the day here,get all the latest fastest update on throughout the day here,get al the latest fastest upd on throughout the day her
554,"Facing arrest warrant, high court judge again plays card. ",facing arrest warrant high court judge again plays card,face arrest warrant high court judg again play card,facing arrest warrant high court judge again play card,face arrest warrant high court judg again play card,facing arrest warrant high court judge again play card,fac arrest war high court judg again play card
555,"117 acquitted, 13 held guilty in murder.  ",acquitted held guilty in murder,acquit held guilti in murder,acquitted held guilty in murder,acquit held guilti in murder,acquitted held guilty in murder,acquit held guil in murd
556,These will be ready long before winners are named. ,these will be ready long before winners are named,these will be readi long befor winner are name,these will be ready long before winner are named,these will be readi long befor winner are name,these will be ready long before winner are named,thes wil be ready long bef win ar nam
557,"13 guilty in murder, laddoos  winners, 1st warrant for judge, and more. Also in epaper. ",guilty in murder laddoos winners warrant for judge and more also in epaper,guilti in murder laddoo winner warrant for judg and more also in epap,guilty in murder laddoos winner warrant for judge and more also in epaper,guilti in murder ladder winner warrant for judg and more also in paper,guilty in murder ladder winner warrant for judge and more also in paper,guil in murd lad win war for judg and mor also in pap
558,India's production grew by 2.7% in January. ,india production grew by in january,india product grew by in januari,india production grew by in january,india product grew by in canari,india production grew by in canary,ind produc grew by in can
559,Govt says Reliance and have tendered apologies for using Prime Minister's picture in their ads without permission.,govt says reliance and have tendered apologies for using prime minister picture in their ads without permission,govt say relianc and have tender apolog for use prime minist pictur in their ad without permiss,govt say reliance and have tendered apology for using prime minister picture in their ad without permission,got say relianc and have tender apolog for use prime minist pictur in their ad without permiss,got say reliance and have tendered apology for using prime minister picture in their ad without permission,got say rely and hav tend apolog for us prim min pict in their ad without permit
